employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
33170,Technology,region_2,Bachelor's,m,referred,2,39,3,3,0,0,81,0
77513,Analytics,region_13,Master's & above,m,other,1,42,3,7,0,0,90,0
40962,Operations,region_29,Bachelor's,m,sourcing,1,32,4,2,1,0,64,0
4197,Operations,region_13,Bachelor's,f,sourcing,1,39,3,7,1,0,59,1
38264,Procurement,region_2,Bachelor's,f,other,1,32,2,5,0,0,65,0
76722,Sales & Marketing,region_2,Bachelor's,m,other,1,41,5,4,1,1,48,1
6824,Legal,region_31,Bachelor's,f,other,1,33,3,8,1,0,60,0
49703,Technology,region_2,Bachelor's,f,other,2,35,2,8,1,0,84,1
47442,Finance,region_26,Bachelor's,f,sourcing,1,31,4,4,0,0,54,0
27795,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,29,2,9,0,0,65,1
17338,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,25,3,1,0,0,48,0
9735,Finance,region_2,Bachelor's,m,other,1,37,5,10,0,0,58,0
47617,Technology,region_26,Bachelor's,m,sourcing,2,30,4,5,0,0,79,0
26673,Procurement,region_2,Master's & above,m,sourcing,1,46,3,13,1,0,92,1
46299,Finance,region_2,Bachelor's,f,other,2,28,5,6,1,0,60,0
69387,Analytics,region_31,Bachelor's,m,other,1,36,4,2,1,0,84,0
23284,Technology,region_26,Bachelor's,f,other,1,44,5,14,1,0,76,0
361,Sales & Marketing,region_1,Bachelor's,m,other,1,29,4,5,0,0,50,0
44261,Procurement,region_17,Bachelor's,m,other,1,30,3,4,0,0,73,0
55213,Analytics,region_29,Bachelor's,m,sourcing,2,25,4,2,1,0,84,0
63774,Sales & Marketing,region_2,Bachelor's,f,other,1,31,4,5,1,0,49,1
4483,Finance,region_15,Bachelor's,m,other,1,28,1,6,0,0,59,0
16471,Sales & Marketing,region_26,Bachelor's,f,sourcing,1,34,4,7,0,0,58,1
48751,Operations,region_22,Bachelor's,f,other,1,26,4,3,0,0,63,0
34985,Technology,region_5,Bachelor's,f,other,2,34,5,8,0,0,88,1
43201,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,39,5,9,0,0,52,0
66921,Sales & Marketing,region_25,Master's & above,m,other,1,33,2,2,1,0,54,1
52543,Analytics,region_22,Bachelor's,f,other,2,29,3,6,0,0,89,0
40741,Technology,region_4,Bachelor's,m,other,3,26,3,2,1,0,80,1
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5,3,1,0,69,1
48126,Operations,region_15,Bachelor's,m,other,1,32,5,7,1,0,58,1
7895,R&D,region_7,Bachelor's,m,other,1,29,3,3,0,0,85,1
23774,Operations,region_2,Bachelor's,m,other,1,57,5,11,1,1,91,1
10207,Sales & Marketing,region_11,Master's & above,m,other,2,46,5,17,0,0,61,1
52636,Technology,region_15,Bachelor's,m,sourcing,1,27,3,3,0,0,79,0
41192,Sales & Marketing,region_2,Bachelor's,m,other,2,34,3,2,0,1,61,1
6534,R&D,region_26,Master's & above,m,sourcing,1,28,5,4,0,0,82,0
28782,Sales & Marketing,region_17,Master's & above,m,sourcing,1,35,3,10,1,0,48,1
38897,Sales & Marketing,region_7,Bachelor's,f,other,1,31,3,6,0,0,64,1
7300,Analytics,region_22,Bachelor's,m,sourcing,1,30,1,6,0,0,86,0
48446,Analytics,region_2,Bachelor's,f,sourcing,1,35,5,4,1,1,89,1
2291,Procurement,region_16,Bachelor's,m,other,1,29,3,3,0,0,68,0
35249,HR,region_22,Below Secondary,m,other,1,22,5,2,1,0,49,1
31681,Operations,region_22,Master's & above,f,sourcing,1,33,4,5,1,0,59,0
11023,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,29,3,5,0,0,59,1
72889,HR,region_2,Bachelor's,f,sourcing,1,36,3,4,1,0,49,1
63315,Operations,region_2,Master's & above,f,sourcing,1,51,5,23,1,0,95,1
71486,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,30,5,8,0,0,60,1
68543,Analytics,region_21,Bachelor's,f,other,1,28,5,2,1,0,88,1
406,Sales & Marketing,region_2,Master's & above,m,other,1,58,3,6,0,0,97,1
51569,Operations,region_2,Master's & above,m,other,2,43,5,5,1,0,59,1
38179,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,46,4,18,0,0,44,0
61205,Procurement,region_21,Bachelor's,m,sourcing,1,30,5,5,1,0,71,0
75967,Operations,region_2,Bachelor's,m,other,1,33,5,3,1,0,61,0
24196,Technology,region_17,Master's & above,f,other,1,41,3,13,0,0,75,0
26451,Technology,region_13,Bachelor's,f,sourcing,1,24,4,2,0,0,82,0
8277,Analytics,region_17,Bachelor's,m,other,1,30,5,6,0,0,83,1
7662,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,40,4,3,1,0,50,1
59831,Finance,region_2,Below Secondary,f,other,1,26,3,4,1,0,57,0
26050,Operations,region_7,Bachelor's,m,sourcing,1,41,5,7,1,0,58,0
50563,Procurement,region_13,Bachelor's,m,other,1,42,5,15,0,0,82,1
60084,Sales & Marketing,region_25,Master's & above,f,sourcing,1,36,1,3,0,0,44,0
57211,Sales & Marketing,region_2,Bachelor's,m,other,1,50,5,9,0,0,62,1
7090,Sales & Marketing,region_10,Bachelor's,f,other,1,29,3,5,0,0,49,0
51787,Sales & Marketing,region_7,Master's & above,f,other,1,36,4,4,1,0,50,1
9916,Technology,region_23,Master's & above,f,other,1,33,4,2,1,0,82,1
46218,Operations,region_15,Bachelor's,m,sourcing,1,35,3,9,1,0,63,0
52,Operations,region_19,Bachelor's,f,sourcing,1,36,3,4,1,0,63,0
22076,HR,region_16,Bachelor's,m,other,1,30,3,3,0,0,55,0
48738,Operations,region_2,Bachelor's,m,sourcing,1,41,5,7,1,0,56,0
30001,Operations,region_4,Master's & above,f,other,1,42,5,11,1,0,65,1
1280,Analytics,region_2,Bachelor's,m,sourcing,1,26,2,5,0,0,80,0
50799,HR,region_2,Master's & above,m,other,1,43,1,10,0,0,49,0
47168,Sales & Marketing,region_3,Master's & above,m,other,1,33,5,2,1,0,92,1
62093,Analytics,region_22,Bachelor's,m,other,2,29,3,3,1,0,82,1
47254,Procurement,region_2,Bachelor's,f,other,1,32,5,4,0,0,80,1
27797,Procurement,region_5,Bachelor's,f,other,1,29,3,6,0,0,74,0
75765,Sales & Marketing,region_2,Bachelor's,m,referred,1,27,5,4,1,0,51,0
39806,Procurement,region_2,Master's & above,m,other,1,55,5,11,1,0,67,1
30763,Technology,region_4,Bachelor's,f,other,2,31,5,1,0,0,81,1
4747,Technology,region_22,Master's & above,m,referred,3,36,3,7,1,0,80,1
71075,Technology,region_7,Bachelor's,f,other,2,25,4,4,0,0,82,0
40266,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,29,2,6,1,0,51,1
46461,Sales & Marketing,region_2,Bachelor's,m,other,3,47,1,17,0,0,53,0
70452,Sales & Marketing,region_14,Bachelor's,m,other,1,42,3,5,1,0,50,1
27574,Technology,region_23,Bachelor's,m,other,1,34,4,5,1,0,79,0
72573,Operations,region_32,Bachelor's,f,other,1,34,5,7,1,0,62,0
63812,HR,region_28,Bachelor's,f,other,1,29,5,2,0,1,67,1
42980,Sales & Marketing,region_29,Master's & above,m,other,1,45,2,18,0,0,47,0
22871,Technology,region_30,Bachelor's,f,other,2,27,4,4,1,0,77,1
38039,Operations,region_4,Master's & above,f,sourcing,1,41,5,9,1,0,60,1
23839,Procurement,region_17,Master's & above,f,other,1,34,3,3,1,0,71,1
63973,Operations,region_2,Master's & above,f,other,2,58,1,15,0,0,59,0
12151,Operations,region_8,Master's & above,m,sourcing,1,30,3,5,0,1,69,1
37931,Sales & Marketing,region_2,Bachelor's,m,other,2,49,4,18,0,0,55,0
43420,Sales & Marketing,region_7,Bachelor's,m,other,1,36,4,2,0,0,51,0
54852,Procurement,region_19,Bachelor's,m,other,1,44,3,7,0,0,69,0
55201,Analytics,region_28,Bachelor's,m,sourcing,1,31,3,3,1,0,83,1
52490,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,60,5,5,0,0,51,0
22504,Operations,region_2,Bachelor's,f,other,1,30,1,4,0,0,59,0
46867,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,29,5,5,1,0,99,1
58038,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,28,1,2,0,0,51,0
69453,Operations,region_25,Master's & above,m,sourcing,1,32,3,10,0,0,57,0
68166,Analytics,region_11,Bachelor's,m,sourcing,2,29,5,5,1,0,81,1
11428,Operations,region_31,Bachelor's,f,sourcing,1,26,5,4,1,0,62,0
59649,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,29,3,5,1,0,49,0
66359,Technology,region_2,Below Secondary,f,other,1,20,4,2,1,1,80,1
48523,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,29,2,3,1,0,49,0
71402,Analytics,region_22,Bachelor's,m,other,1,30,5,3,0,0,83,0
5441,Technology,region_25,Bachelor's,m,other,1,31,5,3,1,0,78,1
41701,Operations,region_27,Bachelor's,m,other,1,28,5,1,0,1,70,1
47045,Procurement,region_14,Bachelor's,m,other,1,30,3,3,0,0,66,0
51895,Sales & Marketing,region_26,Bachelor's,m,other,1,30,3,2,1,0,53,0
62699,Sales & Marketing,region_23,Bachelor's,m,other,1,32,5,5,0,0,52,0
52294,Technology,region_17,Bachelor's,f,sourcing,1,31,5,7,1,0,81,1
57704,R&D,region_31,Master's & above,m,other,2,33,3,5,1,0,80,0
65523,Analytics,region_2,Bachelor's,m,sourcing,1,36,4,4,1,0,88,0
48528,Procurement,region_2,Master's & above,f,sourcing,1,46,3,13,1,0,69,1
45541,Sales & Marketing,region_3,Bachelor's,m,sourcing,1,31,5,4,0,0,48,0
20790,Sales & Marketing,region_10,Bachelor's,m,sourcing,1,31,2,7,0,1,50,0
13818,Sales & Marketing,region_4,Master's & above,m,other,1,46,3,22,0,0,48,0
36650,Sales & Marketing,region_23,Master's & above,m,other,1,40,4,6,0,0,60,1
24828,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,41,5,13,1,0,92,1
26529,Procurement,region_11,Bachelor's,m,other,1,32,5,10,1,1,96,1
77614,Sales & Marketing,region_9,Bachelor's,m,sourcing,1,27,1,4,0,0,53,0
69830,Operations,region_2,Bachelor's,m,other,1,28,3,2,0,0,74,1
34931,Sales & Marketing,region_7,Bachelor's,m,other,1,45,1,17,0,0,62,1
51541,Operations,region_4,Bachelor's,f,sourcing,3,32,2,1,1,0,61,1
10565,Analytics,region_7,Master's & above,m,other,2,37,5,4,0,1,84,1
10721,Technology,region_27,Bachelor's,m,other,1,38,4,7,0,0,87,0
78206,Operations,region_2,Master's & above,m,other,1,39,5,3,1,0,55,1
70306,Technology,region_7,Master's & above,f,other,1,38,3,12,0,0,75,0
50212,Procurement,region_15,Bachelor's,m,other,1,51,2,2,0,0,71,0
37073,Technology,region_13,Bachelor's,f,sourcing,1,30,4,7,0,0,80,0
74698,Procurement,region_22,Master's & above,m,sourcing,2,42,5,8,1,0,68,1
16358,Sales & Marketing,region_12,Bachelor's,m,other,1,27,3,2,0,0,52,0
56171,Technology,region_7,Master's & above,f,other,2,39,5,12,1,0,84,1
56,Sales & Marketing,region_28,Master's & above,m,other,1,36,5,3,1,0,48,1
49101,Procurement,region_13,Bachelor's,f,sourcing,1,29,5,3,1,0,69,1
18470,Procurement,region_17,Bachelor's,f,other,1,46,5,4,0,1,90,1
16053,Procurement,region_27,Bachelor's,m,sourcing,1,43,3,13,0,0,73,0
34278,Procurement,region_31,Master's & above,m,other,1,43,3,7,1,0,71,1
41418,Technology,region_13,Master's & above,f,sourcing,1,31,3,5,0,0,84,0
73742,Technology,region_7,Bachelor's,m,sourcing,2,39,3,5,1,0,78,0
75316,R&D,region_25,Bachelor's,m,sourcing,1,31,5,5,1,0,82,1
30989,Technology,region_5,Bachelor's,m,other,1,32,5,2,1,0,83,0
67727,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,35,5,6,1,0,51,0
23718,Analytics,region_2,Bachelor's,m,sourcing,3,25,4,2,0,0,83,0
11741,Operations,region_26,Bachelor's,m,sourcing,1,40,5,6,1,0,61,0
54740,Procurement,region_2,Master's & above,f,other,1,36,3,8,1,0,67,1
47048,Operations,region_2,Master's & above,f,sourcing,2,39,3,10,0,0,99,1
56874,HR,region_7,Master's & above,m,other,1,37,5,4,1,0,51,0
27610,Finance,region_4,Bachelor's,m,other,1,41,5,10,1,0,60,1
59837,Procurement,region_2,Master's & above,m,sourcing,1,33,5,2,1,0,68,1
21108,Operations,region_13,Bachelor's,f,other,2,38,4,11,1,0,60,1
29908,Finance,region_4,Master's & above,m,other,1,32,5,4,0,1,90,1
7422,Procurement,region_22,Master's & above,m,other,1,48,2,3,0,0,80,1
77056,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,27,4,2,1,0,49,1
26413,Analytics,region_20,Bachelor's,m,other,2,28,2,2,0,0,87,1
23822,Analytics,region_13,Bachelor's,m,other,1,36,1,4,0,0,84,0
24632,Operations,region_8,Master's & above,m,other,1,44,5,3,1,1,93,1
26233,Operations,region_13,Bachelor's,f,other,1,37,3,5,1,0,57,1
14328,Finance,region_7,Bachelor's,f,sourcing,1,29,3,2,0,0,72,1
13717,Procurement,region_7,Master's & above,f,other,1,46,5,7,0,0,81,1
65276,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,29,4,2,1,0,50,1
55627,Sales & Marketing,region_7,Master's & above,m,sourcing,2,36,4,4,0,0,51,0
1954,Analytics,region_7,Master's & above,m,other,1,37,5,9,1,0,84,1
76201,Operations,region_22,Bachelor's,m,other,2,29,4,3,1,0,55,0
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2,4,1,0,57,1
58520,Operations,region_32,Bachelor's,m,other,1,34,5,8,0,0,77,1
43104,Operations,region_22,Bachelor's,f,other,1,27,4,2,0,0,56,0
5971,Operations,region_7,Bachelor's,m,sourcing,1,39,1,4,0,0,60,0
60043,Technology,region_13,Bachelor's,m,sourcing,1,30,3,7,1,0,81,0
43039,Operations,region_2,Bachelor's,f,other,1,33,2,7,0,0,58,0
76861,Analytics,region_22,Master's & above,m,sourcing,1,33,5,3,1,0,94,1
23429,Technology,region_23,Bachelor's,m,other,1,28,5,3,1,0,79,1
72846,Analytics,region_22,Master's & above,m,other,1,32,4,2,0,0,85,1
62764,Sales & Marketing,region_2,Bachelor's,m,other,1,28,5,2,0,0,67,1
65013,Operations,region_2,Bachelor's,f,other,1,32,3,4,1,0,58,1
5820,Sales & Marketing,region_10,Master's & above,m,other,1,33,3,2,1,0,48,1
7360,Operations,region_22,Master's & above,m,sourcing,1,37,3,3,1,0,97,1
64552,Operations,region_11,Bachelor's,f,other,1,29,2,4,0,0,59,0
5291,Finance,region_2,Bachelor's,m,other,1,32,5,4,1,0,65,0
17782,Analytics,region_7,Bachelor's,f,sourcing,1,34,3,6,0,0,82,1
69572,Technology,region_22,Master's & above,m,other,2,34,5,4,1,0,74,1
31464,Operations,region_5,Bachelor's,m,other,1,43,5,12,0,0,61,0
39565,Sales & Marketing,region_22,Bachelor's,m,other,1,37,5,4,0,0,61,1
18372,Finance,region_2,Bachelor's,f,sourcing,1,31,3,3,0,0,58,0
45220,Sales & Marketing,region_7,Bachelor's,m,other,1,34,3,9,1,0,52,0
37150,Sales & Marketing,region_15,Bachelor's,m,other,3,30,3,7,0,0,48,0
9570,Operations,region_2,Master's & above,m,other,2,33,5,3,0,0,76,1
52062,R&D,region_11,Master's & above,m,sourcing,1,29,3,2,1,0,84,0
33554,Technology,region_7,Bachelor's,m,other,1,26,5,4,1,0,81,1
44147,Analytics,region_7,Master's & above,m,other,1,33,4,5,0,0,82,0
24288,Operations,region_3,Master's & above,f,other,1,36,5,3,0,0,62,0
1824,Sales & Marketing,region_13,Master's & above,m,other,1,38,3,10,1,0,54,1
72907,Sales & Marketing,region_25,Master's & above,m,sourcing,1,32,2,5,1,0,48,1
78287,Analytics,region_7,Bachelor's,m,other,1,35,3,2,0,0,83,0
34741,Operations,region_15,Bachelor's,m,sourcing,1,36,3,7,0,0,70,1
13906,Legal,region_12,Bachelor's,f,other,1,25,5,2,1,0,56,1
16864,Operations,region_32,Bachelor's,m,sourcing,1,31,3,2,0,0,60,0
59385,Procurement,region_4,Bachelor's,m,other,1,38,1,4,0,0,64,0
32446,Operations,region_15,Bachelor's,m,other,1,36,5,3,1,0,64,1
59776,Operations,region_26,Bachelor's,m,other,1,36,3,4,1,0,61,1
53030,Technology,region_7,Bachelor's,m,other,1,27,2,2,0,0,80,0
62939,R&D,region_7,Bachelor's,m,other,1,29,5,2,1,0,81,1
49133,Sales & Marketing,region_16,Bachelor's,f,sourcing,2,37,1,9,0,0,48,0
69254,Sales & Marketing,region_7,Master's & above,m,other,1,38,5,7,1,0,48,1
38134,Operations,region_2,Master's & above,m,sourcing,1,50,5,7,1,0,57,1
60637,Operations,region_2,Bachelor's,m,sourcing,1,48,3,23,0,0,58,0
38242,Analytics,region_2,Bachelor's,m,other,1,33,1,2,0,0,85,0
66830,Finance,region_22,Master's & above,f,sourcing,1,33,4,2,1,0,62,1
20572,Technology,region_30,Bachelor's,m,other,1,28,3,5,0,0,78,0
64043,Operations,region_7,Bachelor's,m,sourcing,1,31,3,2,0,0,61,0
43474,Sales & Marketing,region_28,Master's & above,m,other,1,42,5,17,0,0,57,1
78115,Technology,region_27,Bachelor's,m,sourcing,1,28,5,3,1,0,98,1
74470,Operations,region_22,Bachelor's,m,sourcing,1,29,4,6,0,0,60,0
44541,Finance,region_22,Master's & above,m,other,1,32,4,6,1,0,57,0
74295,Procurement,region_13,Master's & above,f,other,1,36,3,6,1,0,67,1
31705,Operations,region_2,Bachelor's,f,sourcing,1,37,5,11,1,0,57,1
6444,Sales & Marketing,region_2,Master's & above,m,sourcing,1,42,5,2,1,0,50,1
36597,Operations,region_1,Bachelor's,m,sourcing,1,25,1,2,0,0,61,0
59191,Finance,region_2,Below Secondary,m,sourcing,1,22,1,2,0,0,61,0
16658,Procurement,region_2,Bachelor's,m,sourcing,1,45,4,7,1,0,72,1
1816,Procurement,region_26,Bachelor's,f,other,1,40,3,8,1,0,64,1
40182,Operations,region_32,Bachelor's,m,sourcing,2,37,5,3,0,0,58,0
16325,Sales & Marketing,region_22,Master's & above,m,sourcing,2,40,3,5,1,0,52,0
20126,Technology,region_9,Bachelor's,m,other,1,28,5,2,0,0,86,1
70763,Procurement,region_13,Bachelor's,f,sourcing,1,33,5,7,1,0,67,0
13896,Sales & Marketing,region_13,Master's & above,m,sourcing,2,33,1,9,0,0,53,0
73404,Operations,region_21,Bachelor's,m,other,2,37,3,7,1,0,59,1
57607,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,29,4,5,0,0,51,0
11083,Procurement,region_14,Bachelor's,m,other,1,27,5,2,1,0,70,1
9044,Procurement,region_7,Bachelor's,m,sourcing,1,30,4,6,1,0,70,1
49756,Procurement,region_23,Bachelor's,f,other,1,35,5,7,1,0,71,1
77102,Sales & Marketing,region_10,Master's & above,m,sourcing,1,41,5,7,0,0,51,0
75759,Operations,region_4,Bachelor's,f,sourcing,1,39,3,5,1,0,58,1
71773,Sales & Marketing,region_32,Bachelor's,m,other,1,28,3,3,1,0,52,0
18538,Sales & Marketing,region_28,Bachelor's,f,other,1,29,5,2,0,1,64,1
18469,Technology,region_1,Master's & above,m,other,1,30,3,7,0,0,82,0
402,Operations,region_16,Bachelor's,f,other,1,35,3,5,1,0,57,1
23725,Technology,region_23,Master's & above,m,other,1,34,5,3,1,0,79,1
31186,Operations,region_11,Master's & above,f,other,1,38,5,8,1,0,62,0
65330,Sales & Marketing,region_26,Bachelor's,f,sourcing,1,34,3,7,0,0,52,0
41829,Technology,region_5,Master's & above,f,sourcing,1,43,4,13,0,0,82,0
7366,Technology,region_2,Master's & above,f,other,2,51,2,18,0,0,82,1
45115,Sales & Marketing,region_2,Bachelor's,m,other,1,31,3,4,1,0,52,1
75342,Sales & Marketing,region_2,Bachelor's,f,other,1,43,3,10,1,0,49,1
49674,Analytics,region_28,Master's & above,m,other,1,40,1,6,1,0,84,1
371,Technology,region_31,Bachelor's,m,sourcing,2,25,3,2,0,0,80,0
60356,Technology,region_2,Bachelor's,m,other,1,60,5,9,0,1,80,1
6993,Sales & Marketing,region_7,Bachelor's,m,other,1,34,5,4,1,0,56,0
34193,Operations,region_19,Bachelor's,f,other,1,38,3,10,0,0,58,0
67590,Finance,region_4,Bachelor's,m,other,1,28,4,5,0,0,61,0
59028,Analytics,region_34,Bachelor's,m,other,2,31,5,7,0,0,85,0
18520,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,27,5,4,0,0,86,1
30183,Technology,region_7,Master's & above,m,other,1,41,3,9,0,0,81,0
26546,Sales & Marketing,region_1,Master's & above,m,other,1,33,5,3,0,0,43,0
65066,Operations,region_2,Bachelor's,f,other,1,51,3,6,0,0,62,0
53281,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,59,4,29,0,0,48,0
76409,Technology,region_2,Bachelor's,f,sourcing,1,25,2,2,0,0,80,0
65833,Technology,region_23,Master's & above,m,sourcing,3,37,3,10,1,0,76,1
12857,Procurement,region_7,Master's & above,m,other,2,35,4,4,0,0,68,0
52872,Operations,region_29,Bachelor's,m,sourcing,1,36,4,2,1,1,63,1
69743,Operations,region_4,Master's & above,m,sourcing,1,35,5,9,1,0,60,0
